1,3,3,3,2,1,3,7,7,7,5.563,9.989,6.4
1,5,3,3,2,1,3,7,7,7,4.03,8.338,6.031
1,7,4,4,1,3,2,6,7,7,5.752,3.701,6.699
1,9,5,5,2,1,3,7,7,7,3.768,5.834,7.3
1,10,6,7,2,3,1,4,5,4,2.385,10.234,8.452
1,2,3,3,1,2,3,6,6,6,3.549,8.603,3.5
1,8,4,5,2,1,3,4,3,2,5.519,6.135,5.701
1,6,4,4,2,1,3,2,1,1,2.634,3.834,3.952
1,4,3,3,3,2,1,2,2,3,5.037,4.067,5.469
1,1,3,3,1,2,3,5,4,4,4.652,6.133,2.704
2,10,6,7,2,1,3,4,5,4,3.05,7.835,3.083
2,7,4,4,1,3,2,7,7,7,2.95,4.635,3.335
2,3,3,3,2,3,1,7,7,8,2.484,5.734,12.536
2,2,3,3,3,2,1,6,6,6,2.387,3.502,8.765
2,6,4,4,2,3,1,2,2,2,1.968,3.533,2.3
2,1,3,3,1,2,3,5,4,4,3.767,2.569,2.035
2,4,3,3,2,3,1,4,5,5,2.067,6.201,4.369
2,8,4,5,3,1,2,4,3,2,3.901,23.234,3.567
2,9,5,5,2,1,3,7,7,8,2.8,3.601,4.902
2,5,3,3,2,1,3,6,6,6,1.734,2.167,2.368
3,8,4,5,2,3,1,5,6,5,2.799,3.834,3.633
3,3,3,3,1,2,3,8,7,8,3.017,2.567,4.735
3,6,4,4,3,1,2,3,3,2,2.486,2.234,3.701
3,2,3,3,1,2,3,5,5,5,1.935,3.336,6.703
3,10,6,7,2,3,1,4,5,5,2.919,4.103,3.403
3,5,3,3,3,1,2,7,7,8,5.101,3.301,3.234
3,1,3,3,3,2,1,4,4,4,3.952,1.901,14.234
3,4,3,3,3,2,1,4,3,3,2.151,4.301,1.967
3,7,4,4,2,3,1,8,8,8,2.335,2.033,2.103
3,9,5,5,3,1,2,7,7,7,1.469,1.771,1.633
4,1,3,3,3,2,1,6,6,6,1.952,14.433,0.802
4,5,3,3,2,1,3,7,7,6,2.352,2.804,4.133
4,3,3,3,2,3,1,7,7,7,2.217,3.8,4.369
4,4,3,3,1,2,3,4,3,3,2.767,5.568,3.002
4,9,5,5,1,2,3,7,7,7,2.901,2.368,2.368
4,10,6,7,3,1,2,2,1,1,2.318,3.07,2.003
4,7,4,4,3,2,1,7,7,7,4.204,2.768,4.417
4,6,4,4,1,3,2,1,1,1,1.836,1.201,2.37
4,2,3,3,3,1,2,4,4,3,2.619,3.034,1.668
4,8,4,5,2,1,3,3,3,3,3.151,1.936,2.437
